TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,YEAR
SMU,Amer,0.8333333333333334,118.2,98.0,.8955,55.3,46.6,18.8,18.3,41.2,28.5,33.8,30.4,52.5,44.6,42,33.1,65.7,3.7,2016
Iowa,B10,0.6666666666666666,115.6,96.8,.8852,51.3,48,14.8,18.8,31.9,31.3,33,25,48.7,48.7,37.4,31.3,68.9,2,2016
Butler,BE,0.6666666666666666,119.1,99.8,.8843,52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,49.9,49.1,39.3,33.8,68.3,2.1,2016
Saint_Mary_s,WCC,0.8235294117647058,118.6,99.6,.8815,58.4,46.2,15.4,15.5,29.8,26.7,29,24.1,56.4,44.8,41,32.7,61.6,2.1,2016
Maryland,B10,0.7428571428571429,116.0,97.5,.8800,55.2,46.5,18.9,16.4,29.1,29.9,37,27,55.8,45.5,36.2,32.1,67,4,2016
Syracuse,ACC,0.6216216216216216,112.5,94.7,.8786,50,47.3,18.1,20.4,33.5,35.3,35.4,28,47.2,48.1,36,30.7,64.6,-0.3,2016
VCU,A10,0.6944444444444444,112.9,95.2,.8773,51,49.2,16.3,21.4,33.2,27.7,32.2,36.8,50.1,48.6,35.2,33.7,69.4,0,2016
Utah,P12,0.7428571428571429,116.5,98.4,.8751,55.1,48,18.2,15.3,29.2,27.8,37.9,23,55.5,44.5,36.3,37.1,66,5.7,2016
Baylor,B12,0.6363636363636364,118.9,100.5,.8734,51.6,51.2,18.6,19.8,40,28.8,38.6,38.6,49.8,49.1,37.4,36.9,66.5,3.5,2016
Connecticut,Amer,0.6944444444444444,111.4,94.6,.8674,51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,49.9,42,36.5,32.6,65.9,1.2,2016
Florida,SEC,0.5833333333333334,110.8,94.3,.8639,48.5,46.7,16,18.6,32.9,29.5,39.5,35.7,48.9,44.4,31.9,34.3,69,0.1,2016
Pittsburgh,ACC,0.625,114.9,97.9,.8630,51.1,50,17.5,16.9,36.9,27.5,36.1,32.4,50.4,48.4,35,35.4,65.4,1.8,2016
Cincinnati,Amer,0.6666666666666666,111.0,94.6,.8619,49.3,45.6,16.3,20.3,36.7,30.6,33.2,27,47.7,41.3,34.8,35.7,65.1,0.4,2016
Saint_Joseph_s,A10,0.7777777777777778,115.1,98.7,.8548,51.2,48.1,14.3,16.1,28.3,25.8,37.4,25,52.3,49.2,32.7,31.1,70,3.6,2016
Creighton,BE,0.5714285714285714,113.7,97.4,.8548,53.8,49,16.1,17.5,27.3,26.1,37.5,33.5,54.5,47.5,35.2,34.6,70.4,-1.9,2016
Texas,B12,0.6060606060606061,112.8,97.1,.8495,49.4,47.7,15.4,18.5,30.7,32,39.5,38.4,48.5,45.8,34.1,34.5,65.4,3.1,2016
Valparaiso,Horz,0.8,107.5,92.8,.8447,50.7,44.5,19,18.5,35.2,24.8,35.1,38.7,48.3,41.5,36.5,33.9,66.6,0.6,2016
Wisconsin,B10,0.6285714285714286,109.5,94.5,.8443,48.5,48.1,17.1,18.6,33.1,27.7,38,33.6,46.6,44.8,34.9,37.4,63.2,0.5,2016
George_Washington,A10,0.7368421052631579,115.9,100.1,.8438,50.8,48.7,16.5,17.5,34.4,27.9,39.1,27,48.4,48.2,37.1,33,66.3,-0.7,2016
Georgia_Tech,ACC,0.5833333333333334,114.7,99.4,.8385,49.8,49.1,16.7,14.6,37.5,27.2,31.7,31.7,48.4,49.5,35.7,32,66.9,-0,2016
Kansas_St_,B12,0.5151515151515151,109.3,95.1,.8333,47.6,49,20.3,20.8,37,31,42.5,40.4,48.7,50.4,30,31,66.7,-1.4,2016
San_Diego_St_,MWC,0.7222222222222222,105.0,91.3,.8333,47.2,42.5,18.4,18,33.9,27.2,42.5,31.3,46.3,41.6,32.6,29.4,65,0.2,2016
USC,P12,0.6176470588235294,114.5,99.8,.8302,52.2,47.3,16.6,16.7,32.1,31.6,35.1,28.3,49.4,46.6,38.7,32.5,71.2,0.2,2016
Providence,BE,0.6857142857142857,110.3,96.3,.8270,48,49.3,16.1,20.6,30.4,30.3,37.3,28,48,49.8,32.1,32.3,68.4,3.3,2016
Stephen_F__Austin,Slnd,0.8,111.0,97.0,.8251,54.8,49.5,17.7,25.9,33.5,30.7,34.3,40.2,54.5,49.7,36.9,32.8,67.3,-1.1,2016
BYU,WCC,0.6944444444444444,113.0,99.1,.8191,52.9,48.3,15.8,17.8,31.2,25.2,35.3,31.9,50.2,47,38.4,33.7,73.5,-1.4,2016
Yale,Ivy,0.7586206896551724,110.0,96.5,.8188,52.2,46.7,19.9,17.8,39.3,24.3,41.7,33.3,51.4,45.5,36,32.7,65.8,0.1,2016
Notre_Dame,ACC,0.6666666666666666,119.0,104.4,.8174,54,49.5,15.3,14.8,32.7,32.1,32.9,26,52.9,46.5,37.4,36.9,64.6,2.3,2016
Michigan,B10,0.6285714285714286,114.2,100.3,.8164,54.5,51.4,14.5,17.9,24.8,26.4,27.8,27,52.6,51.1,38,34.7,65.4,0.9,2016
Clemson,ACC,0.5483870967741935,112.8,99.1,.8156,50.6,47.9,15.8,18,30.3,30.3,33.3,28.5,49.1,45.5,35.2,34.9,63.6,-2.4,2016
Texas_Tech,B12,0.59375,113.7,100.0,.8133,50,49.6,17.8,19,31.3,32.3,42.2,32.9,49.2,47.2,34.6,35.6,66.3,1.3,2016
Dayton,A10,0.7575757575757576,106.3,93.6,.8117,51.6,46.9,18.6,18,28.7,24.2,40.8,32.8,51.5,43.7,34.4,34.9,67.6,2.6,2016
Northern_Iowa,MVC,0.6285714285714286,110.7,97.6,.8087,53.2,48.7,15.2,18.5,17.7,27.4,34.1,24.8,51.3,48.9,37.2,32.4,62.8,-2,2016
South_Carolina,SEC,0.7272727272727273,108.9,96.3,.8042,48.5,47.4,18.9,20.5,37.5,29.5,43.2,38.2,46.6,42.9,35.4,35.8,70.3,1.9,2016
Colorado,P12,0.6363636363636364,108.6,96.2,.8019,48.4,46.8,18.8,15.4,34.8,24.8,40.5,35.7,43.9,44.3,38.6,35.3,69,0.7,2016
Florida_St_,ACC,0.5882352941176471,113.0,100.2,.7993,51.8,50.9,18,18.9,32.8,28.3,37.8,36.7,52.1,48.9,34.1,36.2,71.8,0.2,2016
Hawaii,BW,0.8125,107.8,96.0,.7920,51.9,44.9,18.1,19.8,30.4,26.4,45.4,40.2,54.1,44.8,32.2,30,70.5,1,2016
Georgetown,BE,0.45454545454545453,111.7,99.6,.7883,51.2,46.6,19.1,16.3,28.3,28.4,37.9,49.3,51.4,44.1,33.9,34.9,68,-4.2,2016
Princeton,Ivy,0.75,113.0,100.9,.7879,54.2,49.2,16.2,18.2,28,26.3,33.9,31.1,52,47.6,38.1,35.4,68.6,0.1,2016
Washington,P12,0.5588235294117647,110.9,99.2,.7827,48.1,47.9,17.4,20.5,33.4,35.7,41.2,44.6,47.3,47.2,33.1,33.1,77.3,-2.2,2016
Oregon_St_,P12,0.5806451612903226,110.9,99.2,.7826,49.8,49.5,16.6,19.5,29,32.2,36.8,39.3,46.9,50,37.4,32.4,67.1,0.3,2016
Little_Rock,SB,0.8484848484848485,108.7,97.3,.7819,51.9,45.9,15.6,21,26.7,29.5,31.5,38.3,48.9,45.7,38.2,30.9,62.9,2.2,2016
Georgia,SEC,0.5882352941176471,109.0,97.6,.7816,48.1,45.5,19.2,15.6,32.4,29.8,43.5,41.1,44.8,42.8,36.8,33.1,67,-0.8,2016
Virginia_Tech,ACC,0.5714285714285714,110.3,98.8,.7787,50,49,18,17.9,30.3,31.8,49.4,33.5,49.1,50.1,34.8,31.3,69.6,-0.5,2016
UCLA,P12,0.46875,112.4,100.9,.7749,50.3,49.7,16.9,16.1,32.8,30.4,32.3,33.9,48.8,47.6,36.3,35.4,69.5,-3.8,2016
Houston,Amer,0.6875,117.1,105.5,.7674,52.2,47.3,15.4,18.4,35.8,33.3,34.4,36,52.1,48.3,34.8,30.3,66.4,-1.1,2016
LSU,SEC,0.5757575757575758,112.5,101.5,.7660,51.1,51.8,16.2,18.8,29.8,29.9,43,33.4,52,51.3,32.7,35,72,-1.8,2016
Northwestern,B10,0.625,110.9,100.2,.7619,52.5,46.5,15.8,16.4,30.5,28.3,28.4,35,51.6,43.4,35.8,34.5,63.6,-1.9,2016
Marquette,BE,0.6060606060606061,109.7,99.6,.7507,52,48.7,20,19,28.1,30.7,40.5,28,52.4,47.2,33.9,34.3,70.4,-1,2016
Arkansas,SEC,0.5,110.3,100.2,.7504,49.7,49.8,15.3,19.6,30.9,30.1,37.6,42.9,46.1,47.7,39.7,35.9,70.1,-4.6,2016
Mississippi,SEC,0.625,111.8,101.7,.7482,48.1,49.7,17.1,20.1,34.6,31.1,41.3,40.7,46.5,47.4,33.8,35.5,68.5,-1.4,2016
Memphis,Amer,0.5588235294117647,106.8,97.3,.7448,46.1,44.9,16.4,18.9,32.4,29.6,41.9,38.4,45.1,44.6,32.4,30.5,73.5,-5.5,2016
North_Carolina_St_,ACC,0.48484848484848486,114.2,104.1,.7447,48.5,50.6,16.1,15,36.3,30.4,38.9,29.7,46.9,47.5,34.8,37.4,67.6,-4,2016
Evansville,MVC,0.7272727272727273,107.2,97.8,.7424,53.4,45.9,18.2,18.4,24.5,25,46.9,29.4,53.2,44.4,35.9,32.6,68.6,-1.3,2016
Tulsa,Amer,0.625,110.4,100.7,.7412,50.3,48.2,15.6,20.4,28,30.5,39.6,34.6,51.1,45,32.6,35.9,68.5,-1.1,2016
Rhode_Island,A10,0.53125,108.6,99.2,.7384,50.4,47.6,17.5,18.8,30.6,26.3,37.6,39.6,48.3,46.6,36.5,33.3,64.8,-5.8,2016
Mississippi_St_,SEC,0.45161290322580644,109.5,100.2,.7358,51.7,48.9,18,18.5,29.7,32.9,29.5,36.3,52.6,47.5,33.4,34.3,69.3,-6.2,2016
South_Dakota_St_,Sum,0.75,111.5,102.0,.7356,51.3,48,17.1,17.2,32.4,25.5,40.2,40.2,49.7,47.1,36.1,33.3,68.3,-1,2016
UC_Irvine,BW,0.7222222222222222,106.5,97.7,.7310,51.1,44.6,18.2,17.4,29.1,28.2,35.1,34.7,49.3,41.6,36.7,33.2,67.2,-0.7,2016
Ohio_St_,B10,0.6,106.5,97.7,.7287,49.4,46.6,18.8,17.1,30.2,29.1,36,30.4,49,44.5,33.4,33.4,67.6,-1,2016
Alabama,SEC,0.5454545454545454,106.1,97.4,.7278,49.6,46.6,19.9,18.2,28.3,34.6,40.7,39.1,48.5,45.1,33.9,32.9,64.8,-0.6,2016
Temple,Amer,0.6363636363636364,107.2,98.5,.7241,47,46.4,13.8,16.2,29.1,29.7,26.6,28.7,44.9,46.3,33.7,31.2,65.6,-0,2016
Akron,MAC,0.7352941176470589,109.8,101.2,.7200,52.7,46.8,15.5,16.7,28.5,30.4,30.6,32.4,48,47.5,38.2,30.1,67.4,-1.2,2016
UC_Santa_Barbara,BW,0.5625,107.3,98.9,.7193,50.3,46.7,18.5,17.5,28.8,27.9,27.4,41.8,48.4,47.8,35.8,30,66.7,-4.7,2016
Boise_St_,MWC,0.6,109.1,100.7,.7156,51.7,52,16.4,20.2,27.2,25.5,40.9,36.8,53.7,50.9,32.6,36,69.4,-3.5,2016
William___Mary,CAA,0.6206896551724138,113.3,104.6,.7153,54.9,49.5,15.9,15.3,25.8,27.2,36.6,27.9,54.8,49.4,36.7,33.1,68.3,-3.6,2016
Oklahoma_St_,B12,0.375,106.3,98.1,.7148,48.3,47.1,19.1,17.5,28.8,32.3,38.3,40.9,47.8,44.7,32.8,34.2,64.2,-6.8,2016
St__Bonaventure,A10,0.7096774193548387,114.1,105.4,.7142,51.5,49.6,16.5,19,31.3,33.4,37.5,37.4,48.8,50.5,37.3,32.1,68,0,2016
UNC_Wilmington,CAA,0.7419354838709677,110.4,101.9,.7138,51.2,47.5,15.9,19.9,32.1,30.1,35.6,55.2,51,46.1,34.4,33.9,70.4,-0.6,2016
Cal_St__Bakersfield,WAC,0.7,104.6,96.6,.7135,49.3,45.2,18.2,21.5,34.1,29.7,38,42.1,48.5,42.8,34.3,33.4,67.5,-3.4,2016
Richmond,A10,0.5,113.5,105.0,.7101,54.7,50.9,14.7,18.2,23.2,31.7,35.2,36.1,55.4,49.4,35.6,36,68.3,-5.4,2016
Old_Dominion,CUSA,0.6578947368421053,106.6,98.7,.7066,47.9,45.5,14.4,17.2,36.6,27.1,31,35.8,48.7,44.4,30.1,31.5,61.2,-6.3,2016
Nebraska,B10,0.47058823529411764,109.7,101.7,.7062,50.3,50.1,17.4,19.7,31.8,28.1,32.6,39.7,49.4,47.5,34.7,36.7,67.3,-5.5,2016
Tennessee,SEC,0.4411764705882353,111.3,103.2,.7055,48,48.5,15.8,17.3,32.1,34.5,34.1,37.3,47.4,47.1,32.7,34.2,69.1,-5.8,2016
Arizona_St_,P12,0.46875,109.0,101.1,.7051,48.1,52,17.1,18.3,31.5,27.8,37.8,38.1,46.6,51.4,33.6,35.4,68,-4.1,2016
Long_Beach_St_,BW,0.5454545454545454,108.9,101.0,.7042,49.7,51.1,17.4,19.8,27.7,30.6,37.6,38.7,46.4,50.3,36.7,35,70,-2.9,2016
Monmouth,MAAC,0.7777777777777778,106.6,98.9,.7033,49.9,46.1,16.5,20.1,28.6,30.7,38.4,37.2,47.2,45.3,36.6,31.4,72.7,-0,2016
Oakland,Horz,0.6571428571428571,115.5,107.2,.7031,53.1,49.6,15.2,16.5,31.2,29.5,41.8,32.1,49.3,48.1,39.8,34.9,73.6,-3.3,2016
Wake_Forest,ACC,0.3548387096774194,107.7,100.5,.6887,49.4,49.5,20.1,15.2,32.7,31.2,43.2,38.6,50.4,49.2,31.6,33.4,71.5,-6.2,2016
James_Madison,CAA,0.6451612903225806,106.8,99.8,.6870,51.6,45.5,17.2,15.4,29.5,27,37,37,50.9,47.3,35,28.7,66.8,-4.2,2016
UT_Arlington,SB,0.6764705882352942,106.6,99.7,.6858,49.2,47,18.7,20.1,36.3,26.2,34.4,43.3,49.5,44.4,32.5,33.7,72.3,-3.7,2016
Iona,MAAC,0.6666666666666666,110.2,103.0,.6834,53.8,48.8,17.6,19.2,29.2,31,32.4,36.3,52.5,46,37,35.8,71.7,-3.3,2016
Hofstra,CAA,0.696969696969697,111.1,104.0,.6823,51.4,49.9,16.7,16.4,31.9,30,39.5,24,50.1,48.3,35.6,35.3,69.5,-1.5,2016
New_Mexico,MWC,0.53125,109.0,102.2,.6765,52,48.5,21,17,30.5,28.6,43.9,37.1,51,48.4,36.3,32.5,70.9,-6.7,2016
Stanford,P12,0.4827586206896552,107.7,101.0,.6758,47.5,52,17.5,19.8,30.8,32.1,45.3,39.9,47.4,49.9,31.8,36.9,65.8,-2.6,2016
Davidson,A10,0.59375,113.9,107.0,.6715,52,52,14.2,15.8,24.9,30.8,32.3,30.6,51.1,52.2,35.5,34.3,70.4,-2,2016
Fresno_St_,MWC,0.696969696969697,107.2,101.1,.6621,48.4,48.8,15.1,21,30,29.7,37.7,46.4,47,48.4,34.4,33,68.9,-0.7,2016
Columbia,Ivy,0.696969696969697,112.9,106.9,.6524,53.5,51.5,15.9,19,28.5,26.9,37.9,34.6,50.5,50.2,38.1,35.7,65,-4.1,2016
New_Mexico_St_,WAC,0.65625,102.1,96.8,.6505,50.2,44.8,20.2,16.2,36,25.1,36.9,28.4,50.7,42.3,32.5,33.5,65.5,-4,2016
Stony_Brook,AE,0.7741935483870968,105.7,100.3,.6468,52.2,47.6,17.3,18.4,34.8,26,32.2,27.6,50.7,45.8,37.2,34.1,66.9,-1,2016
UNLV,MWC,0.5161290322580645,104.0,99.0,.6379,49.7,47.1,18.9,19.5,28.3,30.6,40.9,40.1,50.1,46.1,32.8,32.7,72.7,-6.2,2016
Illinois_St_,MVC,0.5483870967741935,104.0,99.0,.6362,47.7,48.4,18.5,20.5,30,28.2,30.9,38.4,46.2,48.7,33.3,31.9,67.4,-5.4,2016
Chattanooga,SC,0.8181818181818182,106.6,101.8,.6286,51.7,50.5,18,20.2,32.3,29,41.6,30.9,50.7,50.5,35.6,33.7,66.4,0.5,2016
Louisiana_Monroe,SB,0.5625,107.7,103.0,.6272,50.6,47.5,18.2,17,31.5,31.6,32.2,33,50,46.6,34.5,32.7,65.7,-6.1,2016
Middle_Tennessee,CUSA,0.696969696969697,104.8,100.3,.6238,51.7,49.4,17.1,19.4,28.7,25.7,34.9,42.4,47.8,48,39.2,34.7,67.6,-3,2016
Milwaukee,Horz,0.5806451612903226,112.0,107.3,.6207,52.8,51.4,15.8,15.6,27.1,25.6,38.3,29.6,51.9,48.7,35.9,38.3,66.2,-6.6,2016
UAB,CUSA,0.78125,109.2,104.7,.6167,53.6,48.6,17.8,18,32.4,30.4,33.4,29.8,52.6,48.1,37,33.1,68.1,-0.9,2016
Toledo,MAC,0.5161290322580645,108.8,104.4,.6165,52.7,51,16.6,17.3,27.9,24.6,34.3,28.8,51.7,46.6,36.3,38.9,69.1,-9.6,2016
Utah_St_,MWC,0.4827586206896552,111.2,107.1,.6069,52.2,51.1,17.5,16.5,29.2,28.7,33.6,33.2,49.2,50.1,37.9,35.2,66.8,-7.3,2016
Belmont,OVC,0.6129032258064516,114.5,110.3,.6066,58.6,50.8,19.3,16.5,26.4,30.9,34.5,37.1,62.6,49.5,36.4,35.4,71.8,-4.7,2016
Northeastern,CAA,0.53125,107.2,103.2,.6062,51.7,51.7,18.2,17.2,25.9,28.8,38.7,27.9,48.5,52,37.2,33.9,65.3,-6.9,2016
Ohio,MAC,0.6470588235294118,111.6,107.5,.6058,54.2,49.6,16.9,14.5,24.9,25.8,37.4,33.5,52.3,47.1,38.2,36.4,69.8,-5.2,2016
Louisiana_Lafayette,SB,0.53125,109.8,106.1,.5972,48.8,49.9,17.5,16.5,37.7,26.4,42.2,35.5,49.9,47,31.1,37.8,70.4,-7.4,2016
Illinois,B10,0.4411764705882353,106.5,103.1,.5909,50.2,53.6,14.9,19,21.5,28.1,30.5,26.5,47.5,51,36.3,38.6,68.1,-7.1,2016
College_of_Charleston,CAA,0.5333333333333333,97.5,94.5,.5906,47.4,48.1,19.5,21.6,30.4,26.9,32.8,43.1,45.6,48.2,34,32,64.1,-7.1,2016
Wright_St_,Horz,0.6060606060606061,101.2,98.2,.5856,51.4,48.6,16.5,20.6,19.1,25.5,33,48.3,48.3,48.1,37.8,33,65.4,-5.9,2016
Nevada,MWC,0.6111111111111112,101.7,98.9,.5819,45.5,46.1,17.6,17.3,30.7,30.3,43.2,39.6,46.3,44.9,29.1,32.3,71.3,-5,2016
Duquesne,A10,0.48484848484848486,109.1,106.1,.5804,53.9,49.4,18.9,15.6,27.9,28.4,33.6,38.6,53.1,42.8,36.6,40.2,72.7,-7.7,2016
Siena,MAAC,0.6176470588235294,107.8,104.9,.5778,52,47.2,22.2,17.3,39.1,30,40.8,38.4,50.7,46.7,36.8,32.1,70.2,-6.2,2016
TCU,B12,0.36363636363636365,101.0,98.3,.5768,45.7,50.9,20.7,21.1,29.3,31.5,45.6,41.4,43.7,50.2,33.5,34.8,69.4,-6.8,2016
Buffalo,MAC,0.5588235294117647,106.1,103.4,.5752,49.6,49.8,18.8,17.7,31.8,28.7,41.6,37.8,49,48.8,33.7,34.3,72,-5.6,2016
Albany,AE,0.71875,105.7,102.9,.5751,50.7,48.7,18.4,18.7,34.8,25.6,43.3,27.2,51.8,50.2,32.3,30.9,66.4,-3.8,2016
Green_Bay,Horz,0.6176470588235294,107.9,105.1,.5740,49.8,51.5,15.8,21.1,30.9,32,42.2,35.8,48.5,50,35,36.3,76.4,-4.4,2016
Grand_Canyon,WAC,0.78125,104.2,101.6,.5739,49.8,48.1,16.9,19.1,32,27.3,41.5,35.1,48.3,48.4,35.6,31.7,68.6,-0.9,2016
Pepperdine,WCC,0.5483870967741935,106.4,103.8,.5717,49,49.8,16,16.1,30.3,29.8,41.1,31.4,48.3,50.2,34,32.6,67.5,-4.9,2016
Southern_Illinois,MVC,0.6875,105.8,103.4,.5655,51.1,50.9,19.4,21.3,31.7,25.6,39.3,44.9,51,52.6,34.3,31.8,69.6,-3.2,2016
Weber_St_,BSky,0.71875,102.7,100.4,.5641,54.5,47.4,19.6,15.6,25.9,25.6,45.7,28.1,55.3,45.2,35.5,35.6,66.8,-3.5,2016
IPFW,Sum,0.6875,111.1,108.8,.5601,54,52.9,17.3,15.7,28.1,26.5,33.4,30,49,50.2,40.3,38.7,69.4,-2.6,2016
Morehead_St_,OVC,0.6,106.1,104.0,.5560,48,50.6,18.6,21.4,38.6,29,35.3,53.7,45.8,49,36.2,35.7,65.4,-6.3,2016
Colorado_St_,MWC,0.5,112.2,110.0,.5551,49.9,52.1,16.3,14.1,33,25.1,42.3,35.1,46.5,51.4,36.2,35.4,68,-8.4,2016
Central_Michigan,MAC,0.4666666666666667,111.3,109.4,.5500,51.7,51,13.6,15.9,26.5,31.5,30,35.2,50.8,50.7,35.2,34.4,66.5,-9.1,2016
UNC_Asheville,BSth,0.625,102.3,100.5,.5498,49.6,49.3,18.6,22.2,31.6,29.3,41.8,33,50.2,52.1,32.1,29.6,70.1,-6.1,2016
Vermont,AE,0.6111111111111112,108.4,106.5,.5496,54.1,49.3,19.2,16.7,28.5,28.2,38.2,37.4,52.6,46.3,38.2,37,67.6,-6.4,2016
Murray_St_,OVC,0.5172413793103449,107.7,106.0,.5478,51.6,52.2,17.8,19.2,28.7,26.2,34.1,40.8,50.1,51.1,36.1,36.1,64.4,-8.8,2016
Marshall,CUSA,0.5151515151515151,110.9,109.2,.5456,54.2,52.3,16.4,17.1,26.6,30.9,31.2,35.9,57.2,50.7,33.7,37.4,77.1,-8.5,2016
Penn_St_,B10,0.5,102.2,100.8,.5406,46.6,48.8,16.9,17.6,28.7,29.4,34.5,42.5,45.9,45.5,31.7,36.6,66.1,-4.6,2016
Fordham,A10,0.5333333333333333,102.8,101.4,.5406,51.5,51.4,20.4,22.4,30.4,26.9,33.6,40.5,51.2,52.3,34.6,33.4,66.6,-5.9,2016
Massachusetts,A10,0.4375,103.1,101.8,.5378,49.1,48.3,17.5,17.1,25.9,30.4,36.5,40.2,48.8,49,33,31.3,70.7,-8.5,2016
Montana,BSky,0.6,106.5,105.1,.5374,53.4,49.5,18.3,18.7,28.4,24.9,36.8,45.3,51.8,49.5,37.3,33,65.2,-5.6,2016
Towson,CAA,0.5806451612903226,105.4,104.2,.5331,46.9,48.4,17.9,17.7,38.3,27.3,45.1,41,46.3,46.2,32.1,35.2,65.7,-6,2016
Eastern_Michigan,MAC,0.4827586206896552,106.4,105.2,.5331,48.8,50.6,17.4,20.9,31.1,36.9,43.5,42.9,49.5,47.6,31.5,36.8,70.3,-7.6,2016
Florida_Gulf_Coast,ASun,0.5483870967741935,103.8,103.1,.5204,51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,51.5,48.3,34.2,31.2,67,-8.3,2016
Georgia_St_,SB,0.5,101.1,100.4,.5187,48.5,47.9,18,21.2,24.5,31,37.5,41.3,47.1,47,34.8,32.8,64.5,-8.4,2016
Western_Kentucky,CUSA,0.5,109.4,108.9,.5133,52.5,52.4,19,15,33.6,28.6,39.6,30,51.5,50.4,36.3,37.3,66.9,-9.4,2016
North_Florida,ASun,0.6129032258064516,114.4,113.9,.5132,57.9,51.8,15.3,14.4,24.1,33.4,28.7,27.1,54.7,51.8,40.9,34.6,70.4,-5,2016
Nebraska_Omaha,Sum,0.5333333333333333,109.1,108.8,.5093,51.9,53.1,16.6,20.3,28.1,31.6,42.6,38.5,52.6,52.7,33.6,35.9,76.3,-7.4,2016
Harvard,Ivy,0.42857142857142855,100.7,100.4,.5087,51.8,46.6,21.5,16.8,29.6,28.4,31.5,33.5,48.1,46.4,39.2,31.3,66,-8.7,2016
Louisiana_Tech,CUSA,0.6774193548387096,103.8,103.7,.5037,51.3,49.2,16.9,19,28.8,29,43,34.1,52,49.7,33.3,32,71.5,-4.2,2016
Wyoming,MWC,0.4,109.1,108.9,.5037,53.4,50.1,17,15.8,18.1,30.4,45.9,39.1,50.8,48.4,37.2,35.4,64.6,-10.4,2016
Missouri,SEC,0.3225806451612903,103.7,103.7,.5019,47.2,49,18,16,26.8,29.8,39.6,40.8,47.6,48,31,33.6,68,-9.4,2016
Ball_St_,MAC,0.5882352941176471,103.1,103.0,.5016,52.2,46.8,19.9,16.5,28,26.3,34.8,38.6,49.9,43.7,36.9,35.1,65.3,-8.2,2016
North_Dakota_St_,Sum,0.5806451612903226,100.6,100.7,.4989,49.9,47.7,16.2,16.9,25.6,26.2,33.9,31.8,49.1,47.2,34.1,32.4,64.5,-7,2016
High_Point,BSth,0.6206896551724138,110.3,110.4,.4989,51.9,52.9,15.9,20.6,31.9,31.7,35,32.3,49.8,53.3,38.2,34.7,65.9,-5.6,2016
Northern_Illinois,MAC,0.5666666666666667,101.5,101.7,.4964,47.8,49,18.5,19.9,32.1,27.7,41.7,41.3,44.8,46.4,35.6,35.2,67.7,-6.5,2016
Tennessee_St_,OVC,0.6206896551724138,100.7,100.9,.4947,50.4,49.5,19.2,21.6,31.4,29,41.5,42.7,50,45.4,34.1,36.8,67.9,-5.9,2016
Elon,CAA,0.4666666666666667,105.9,106.2,.4920,51.8,50.3,17.7,15.8,27.2,29.8,30.4,33.4,52.5,49.1,33.9,35.3,71.5,-8.3,2016
DePaul,BE,0.2903225806451613,104.7,105.2,.4852,49.4,51.4,21.5,17.8,30.7,29.9,36.5,44.8,48.6,49.2,34.3,36.4,67.2,-9.2,2016
Oral_Roberts,Sum,0.41379310344827586,107.5,108.1,.4834,50.5,52.1,17.3,15.9,28.1,30,36.6,33,48,50.2,38,37.4,68.9,-9.3,2016
Coastal_Carolina,BSth,0.6,101.7,102.4,.4798,49.5,46.3,18.8,15.3,30.6,29,35.7,31.7,49.1,46.2,33.4,30.9,66.6,-6.9,2016
Lehigh,Pat,0.5161290322580645,105.1,105.9,.4785,52.1,51.1,19.3,18.6,29.1,29.3,31.7,28.8,48.5,48.8,39.3,36.4,67.9,-9.4,2016
Bucknell,Pat,0.5333333333333333,105.4,106.2,.4781,52.1,49.5,18.7,17.9,29.7,28.4,43.9,41.3,51.2,47.6,35.8,35.2,71.3,-8.9,2016
East_Tennessee_St_,SC,0.6470588235294118,106.5,107.3,.4770,53,50.5,18.1,17.8,28.3,30.6,34.9,39.8,50.4,50.1,38.3,34.1,69.3,-4.9,2016
Detroit,Horz,0.4827586206896552,110.7,111.8,.4712,52,53.6,17.8,17.2,32.5,29.4,40.5,46.5,50.6,53.7,36.5,35.6,73.6,-8.3,2016
Eastern_Washington,BSky,0.5,112.6,113.9,.4685,56.4,54,16.1,15.9,26.7,29.2,35.9,37.9,55.4,53.3,38.4,37.4,68.5,-10.6,2016
Winthrop,BSth,0.6896551724137931,107.1,108.3,.4668,54.2,47.7,17.8,15.9,26,32,41.1,31.9,53.9,47.1,36.4,32.7,72.8,-4.7,2016
Loyola_Chicago,MVC,0.45161290322580644,100.4,101.6,.4638,48.3,49.6,18.9,22.2,22.5,30.6,32.5,36.4,45.9,48.2,35.3,34.9,64.8,-9.2,2016
Kent_St_,MAC,0.5806451612903226,106.4,107.8,.4628,49,51,17.5,16.8,34.1,28,40,35.1,49,49.5,32.8,35.9,67.3,-6.8,2016
Denver,Sum,0.5161290322580645,103.2,104.6,.4601,55.7,52,20.8,22.7,20,31,36.6,43.3,54.3,49.9,38.3,37.2,61,-10.1,2016
Portland,WCC,0.3548387096774194,108.5,110.1,.4568,49.9,52.4,16.8,18.4,30.7,34.2,31.4,41.4,47,49.4,36.3,38.5,71.9,-12.2,2016
