TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,YEAR
Washington,P10,0.48484848484848486,108.8,96.4,.8006,50,51.2,19.8,21.5,40.6,29.9,34.2,39.7,49,48.8,35.1,37.5,70.3,-2.3,2008
California,P10,0.5151515151515151,115.3,102.5,.7956,52.3,51.9,19.4,17.2,34.5,31.8,36.1,33.1,51.6,51.4,35.9,35.1,69.6,-1.3,2008
Wake_Forest,ACC,0.5666666666666667,106.2,94.4,.7934,48.3,49.1,19.6,23.9,33.9,33.8,34,36.8,49.2,47.1,31.1,35.1,70.7,-1.7,2008
UAB,CUSA,0.6764705882352942,108.8,96.8,.7933,52.2,46.8,20.4,19.8,32.2,30.6,39,37.1,49.9,45.1,37.5,33.6,68.9,-1.5,2008
Temple,A10,0.6176470588235294,111.2,98.9,.7928,54.1,49.1,19.1,19.3,28.5,32.4,35.3,31.8,53.3,46.5,36.9,35.7,65.6,-1.7,2008
Kentucky,SEC,0.5806451612903226,106.6,94.9,.7920,52.7,45,23.7,19.7,32.9,33.8,41.1,42.4,51.5,43.1,36.9,32.6,64.3,-1.1,2008
VCU,CAA,0.75,102.6,91.6,.7869,49.6,42.1,20.5,22.9,34.6,32.9,40.1,38,46.4,42.9,37.6,26.9,65.4,-0.3,2008
Houston,CUSA,0.7058823529411765,112.7,100.8,.7822,49.8,49.1,15.4,22.7,31.7,33.4,33.5,38.8,45.7,48.2,36.1,33.8,71,-1.7,2008
Dayton,A10,0.6764705882352942,109.2,97.9,.7784,52.7,50.6,20.6,20.2,35.3,27.9,42.3,33.1,51.1,48.6,37.5,35.5,63.6,-0.7,2008
Tulsa,CUSA,0.6410256410256411,105.6,94.9,.7736,50.4,46,22.8,18.1,36.4,29.5,38,31.5,49,44.6,35.3,32.8,66.1,-3.9,2008
